epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.137,1.13136,5.17542,1.23431,0.03959,0.05781,0.01891,0.01378,0.93974,3.72436,1.11853,0.067,3.3033e-05,3.3033e-05
2,335.853,1.06775,3.53625,1.20548,0.13837,0.1079,0.08049,0.063,0.91388,2.90159,1.11421,0.0336987,6.50392e-05,6.50392e-05
3,446.227,1.04388,2.86527,1.19667,0.20006,0.20877,0.14723,0.11809,0.86003,2.39905,1.08384,0.000396012,9.57121e-05,9.57121e-05
4,611.061,0.99458,2.48307,1.18389,0.2942,0.24461,0.19707,0.15671,0.8104,2.07088,1.05892,9.40006e-05,9.40006e-05,9.40006e-05
5,726.001,0.94676,2.22908,1.15274,0.35716,0.27309,0.2447,0.19568,0.78016,1.85071,1.04093,9.20008e-05,9.20008e-05,9.20008e-05
6,852.394,0.93603,2.05576,1.14115,0.49106,0.31884,0.29455,0.234,0.76267,1.69735,1.02458,9.0001e-05,9.0001e-05,9.0001e-05
7,933.113,0.91827,1.90772,1.13178,0.42018,0.3515,0.32552,0.26199,0.73938,1.56118,1.01184,8.80012e-05,8.80012e-05,8.80012e-05
8,1067.52,0.88081,1.75662,1.10823,0.47113,0.37478,0.35696,0.28458,0.72624,1.46907,1.00101,8.60014e-05,8.60014e-05,8.60014e-05
9,1162.88,0.87476,1.66558,1.09693,0.55979,0.36649,0.38953,0.31249,0.70464,1.37466,0.98699,8.40016e-05,8.40016e-05,8.40016e-05
10,1272.37,0.83459,1.55279,1.0738,0.54765,0.3853,0.40875,0.32668,0.69612,1.31506,0.98063,8.20018e-05,8.20018e-05,8.20018e-05
11,1403.01,0.83932,1.53367,1.08402,0.53775,0.40939,0.42271,0.3412,0.68562,1.27346,0.97165,8.0002e-05,8.0002e-05,8.0002e-05
12,1551.67,0.85578,1.4706,1.08215,0.62839,0.39913,0.44188,0.35795,0.66862,1.20725,0.96303,7.80022e-05,7.80022e-05,7.80022e-05
13,1752.46,0.84255,1.40969,1.07971,0.61734,0.41542,0.45887,0.37232,0.66406,1.17454,0.96032,7.60024e-05,7.60024e-05,7.60024e-05
14,1999.73,0.82147,1.37394,1.065,0.63302,0.42304,0.47077,0.38481,0.65614,1.12837,0.95363,7.40026e-05,7.40026e-05,7.40026e-05
15,2317.93,0.81795,1.31383,1.06624,0.61613,0.45389,0.48373,0.39619,0.64902,1.09507,0.9495,7.20028e-05,7.20028e-05,7.20028e-05
